id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
25459169,House,Private room,2,1,0,2,69
25480815,Apartment,Entire home/apt,2,1,1,1,150
25485559,Apartment,Private room,1,1,2,2,69
25511111,Other,Entire home/apt,4,1,3,3,335
25518503,House,Entire home/apt,5,2,2,2,350
25522532,House,Entire home/apt,4,1,1,1,700
25545349,Apartment,Shared room,1,1,1,1,45
25547078,Apartment,Entire home/apt,2,1,1,1,172
25547214,Apartment,Entire home/apt,2,1,1,1,172
25547908,House,Private room,2,2,3,3,79
25553028,Other,Entire home/apt,7,1.5,3,3,300
25631183,House,Entire home/apt,5,1,1,1,300
25634749,House,Private room,2,1,1,1,72
25679734,Apartment,Private room,2,1,1,3,170
25679846,House,Private room,4,1,1,1,249
25728058,Apartment,Private room,3,1,1,1,163
25730240,Apartment,Private room,2,1,1,1,135
25749954,House,Private room,2,1,1,1,72
25776536,House,Private room,2,1,1,1,145
25780281,House,Private room,1,2,2,2,89
25798231,Apartment,Entire home/apt,5,2,2,2,450
25801232,Other,Entire home/apt,2,1,2,3,344
25801524,Other,Entire home/apt,4,2,1,2,199
25808640,House,Entire home/apt,4,1,1,1,150
25815864,House,Private room,2,1,0,0,105
25841769,Apartment,Entire home/apt,2,1,2,2,123
25842384,Apartment,Entire home/apt,4,1,1,1,207
25842694,House,Entire home/apt,2,1,2,2,101
25842862,Apartment,Entire home/apt,4,1,1,1,207
25843736,House,Private room,1,1.5,3,4,125
25845975,House,Entire home/apt,6,8,1,1,350
25866933,Other,Private room,2,2,2,2,139
25868874,Apartment,Entire home/apt,4,2,3,3,233
25869229,Apartment,Entire home/apt,6,1,1,2,267
25870802,Other,Entire home/apt,4,2,5,5,99
25892426,House,Entire home/apt,8,1,1,1,260
25907508,House,Private room,1,1.5,2,2,100
25912297,House,Entire home/apt,6,1,1,1,230
25915813,House,Private room,2,1,1,1,110
25919871,House,Entire home/apt,2,1,1,1,125
25921225,Other,Private room,2,1,1,1,129
25921865,House,Private room,2,1,2,3,85
25944549,House,Private room,6,2,3,3,425
25945504,Apartment,Entire home/apt,4,1,1,1,160
25948779,Other,Private room,1,1,1,1,235
25975274,Other,Private room,2,1,0,1,225
25976748,Other,Entire home/apt,2,1,1,1,95
25979052,House,Private room,2,1,1,2,155
26004362,Other,Entire home/apt,4,1,1,1,300
26012007,Other,Entire home/apt,2,1,2,2,250
26027570,Apartment,Entire home/apt,4,1,1,1,143
26029679,Apartment,Entire home/apt,2,1.5,3,4,197
26033791,House,Entire home/apt,8,1,1,2,230
26040040,Other,Entire home/apt,2,1,0,1,90
26043158,Apartment,Entire home/apt,2,1,1,1,149
26053823,Other,Entire home/apt,2,1,1,1,250
26053833,Other,Private room,2,1,1,1,250
26053850,Other,Entire home/apt,2,1,1,1,250
26055863,House,Private room,2,1,1,1,151
26066245,Other,Entire home/apt,2,1.5,1,1,250
26084343,Other,Private room,1,2,1,0,100
26084506,House,Entire home/apt,2,1,2,2,95
26095551,House,Entire home/apt,4,1,1,1,300
26099225,Other,Entire home/apt,1,2,3,3,135
26104283,Apartment,Entire home/apt,6,2,2,2,283
26104315,Apartment,Entire home/apt,4,1,1,1,233
26111196,House,Private room,1,1,1,1,52
26134568,Apartment,Private room,2,1.5,1,1,90
26136044,House,Private room,2,1,1,1,110
