id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value,reviews_per_month
1629734,37,97,10,10,1
1629740,55,98,10,10,1
1633126,52,94,10,9,2
1633173,194,81,9,8,5
1633225,103,89,10,9,2
1633839,6,93,10,9,2
1633933,79,98,10,10,1
1636810,39,96,10,9,1
1645724,8,88,9,9,0
1651228,47,100,10,10,1
1655446,106,94,10,9,2
1665516,180,98,10,10,3
1671260,171,100,10,10,3
1672896,90,93,10,9,2
1673011,142,99,10,9,2
1676460,2,100,8,10,0
1683892,10,98,10,9,0
1684346,45,98,10,10,1
1687330,66,98,10,10,1
1696383,83,87,9,9,1
1696666,127,91,9,9,2
1698594,2,100,10,10,0
1699390,185,96,10,10,3
1721354,21,100,10,9,0
1724819,253,98,10,10,4
1725833,26,97,10,9,0
1725853,354,96,10,9,5
1728497,5,88,10,9,0
1733056,17,100,10,10,0
1738415,432,98,10,10,6
1740537,101,96,10,9,1
1743201,116,99,10,10,2
1747531,9,96,10,9,0
1750093,117,97,10,10,2
1752535,15,97,10,9,0
1759087,195,95,10,9,3
1762727,26,99,10,9,0
1767569,80,98,10,10,2
1768239,37,99,10,10,1
1769688,218,99,10,10,3
1774026,87,93,9,9,1
1777429,8,93,10,9,0
1778650,79,93,10,9,7
1785463,180,94,10,9,3
1807012,24,100,10,10,0
1807493,103,93,10,9,2
1810486,80,93,10,9,1
1815551,242,98,10,9,4
1821543,16,100,10,9,0
1827177,164,96,10,10,3
1827638,1,100,10,10,0
1827653,202,99,10,10,3
1830541,260,97,10,10,4
1844877,94,98,10,9,1
1847664,96,95,10,10,1
1855096,294,99,10,10,4
1857226,59,94,10,9,1
1861344,7,100,10,9,0
1863106,96,94,9,10,2
1863316,61,92,10,9,1
1864390,141,96,10,9,2
1865406,29,83,9,9,0
1868880,77,98,10,10,1
1869027,7,100,10,10,0
1881223,32,100,10,10,3
1887206,13,95,10,9,0
1898486,98,99,10,10,1
1906323,21,100,10,10,0
1906681,18,96,10,10,0
1907229,138,95,10,9,2
1909613,8,100,10,8,0
1913043,31,100,10,10,0
