id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,time_since_first_review,time_since_last_review
18757990,11/12/2013,within an hour,100%,1,1,1,1,Pacific Heights,Other,Entire home/apt,3,1,1,2,195,2,29,4 months ago,7,31,59,149,113,60,6/24/2017,100,10,10,10,10,10,10,1,1,1,0,0,4.78,2028,1-2 years,6
18765944,5/5/2017,within an hour,100%,1,4,4,0,Parkside,House,Private room,1,1,1,1,68,1,10,today,6,28,50,287,128,64,6/11/2017,98,10,10,10,10,9,9,0,4,0,4,0,5.32,758,1-2 years,18
18767723,5/5/2017,within an hour,100%,1,4,4,0,Parkside,House,Private room,2,1,1,1,73,1,10,a week ago,7,14,25,250,129,64,6/8/2017,99,10,10,10,10,9,10,0,4,0,4,0,5.34,758,1-2 years,15
18771028,5/16/2017,within a few hours,100%,0,1,1,0,Inner Sunset,House,Entire home/apt,4,1,2,2,200,30,1124,today,0,0,0,0,22,1,6/23/2017,100,10,10,10,10,10,10,0,1,1,0,0,0.93,747,1-2 years,309
18772424,11/2/2015,within an hour,100%,1,1235,1235,1,South of Market,Apartment,Entire home/apt,8,3.5,4,4,279,30,1125,4 weeks ago,0,0,0,0,3,2,8/5/2017,93,10,10,10,8,9,9,0,241,241,0,0,0.13,1308,1-2 years,19
18777731,1/7/2017,within an hour,50-89%,0,1,1,0,West of Twin Peaks,Other,Entire home/apt,3,1,1,2,225,4,40,2 days ago,1,31,55,330,44,18,5/29/2017,92,10,10,9,10,9,9,0,1,1,0,0,1.8,876,2-3 years,47
18780199,6/19/2016,within an hour,100%,0,1,1,1,South of Market,Apartment,Entire home/apt,1,1,0,1,195,30,90,8 months ago,23,53,83,173,22,1,7/18/2017,99,10,10,10,10,10,10,0,1,1,0,0,0.96,1078,1-2 years,288
18785944,5/5/2017,within an hour,100%,1,4,4,0,Inner Sunset,House,Private room,2,1,1,1,78,1,10,a week ago,5,22,38,98,116,61,6/6/2017,98,10,10,10,10,9,10,0,4,0,4,0,4.79,758,1-2 years,13
18794629,2/19/2017,within an hour,100%,0,43,43,0,Haight Ashbury,Other,Private room,3,5,1,3,90,2,22,today,0,0,0,0,60,22,6/11/2017,96,10,9,10,10,10,10,1,43,0,18,25,2.49,833,1-2 years,72
18804992,5/18/2017,with in a day,unknown,0,1,1,0,Excelsior,House,Entire home/apt,4,1.5,3,4,100,2,1125,5 months ago,0,0,0,0,13,7,7/4/2017,98,10,10,10,10,9,10,1,1,1,0,0,0.56,745,1-2 years,175
18805854,6/17/2013,within a few hours,100%,0,1,1,0,Mission,Other,Entire home/apt,4,1,2,4,230,3,15,3 weeks ago,0,0,8,8,6,3,6/13/2017,100,10,10,10,10,10,9,0,1,1,0,0,0.25,2176,1-2 years,157
18809842,12/7/2012,within an hour,90-99%,0,4,4,0,Outer Mission,House,Private room,2,1,1,1,85,3,1125,yesterday,5,8,38,313,68,36,5/29/2017,97,10,10,10,10,10,10,1,4,1,3,0,2.78,2368,2-3 years,14
18810290,5/9/2017,within an hour,100%,1,2,2,1,Inner Sunset,Other,Entire home/apt,4,1,1,2,125,4,28,2 weeks ago,7,22,43,102,76,44,6/24/2017,99,10,10,10,10,9,10,0,2,1,1,0,3.22,754,1-2 years,1
18827284,5/19/2017,within an hour,100%,1,1,1,1,Lakeshore,House,Private room,2,1,1,1,108,2,10,a week ago,0,10,22,22,37,17,6/18/2017,98,10,10,10,10,9,10,0,1,0,1,0,1.55,744,1-2 years,12
18838484,5/20/2017,within a few hours,100%,0,14,14,0,Parkside,Apartment,Private room,4,1,1,1,70,30,1125,3 months ago,14,14,14,97,6,4,7/30/2017,93,9,9,10,10,10,8,1,13,3,10,0,0.27,743,1-2 years,184
18840775,5/20/2017,within a few hours,100%,0,14,14,0,Parkside,Apartment,Private room,2,1,1,1,65,30,180,11 months ago,0,0,2,92,2,0,7/1/2017,100,10,10,10,10,10,8,1,13,3,10,0,0.09,743,1-2 years,652
18841477,2/27/2012,within a few hours,100%,1,5,5,1,Mission,Apartment,Private room,1,1,1,1,77,5,90,2 months ago,1,15,18,253,30,17,9/4/2017,97,10,10,10,10,10,9,0,3,0,3,0,1.41,2652,1-2 years,12
18850359,7/20/2013,within a few hours,50-89%,0,1,1,1,Mission,Other,Entire home/apt,6,1,2,3,250,2,2,2 weeks ago,0,3,3,89,14,4,7/16/2017,96,10,9,10,10,10,9,0,1,1,0,0,0.61,2143,1-2 years,294
18851429,5/21/2017,within a few hours,100%,1,1,1,0,Pacific Heights,Apartment,Entire home/apt,6,2.5,3,4,595,30,90,2 months ago,16,46,76,256,35,7,5/29/2017,99,10,10,10,10,10,10,1,1,1,0,0,1.43,742,2-3 years,142
18853563,3/1/2014,within an hour,100%,1,5,5,0,Chinatown,Apartment,Entire home/apt,2,1,1,1,100,30,180,6 months ago,1,3,16,196,8,4,9/30/2017,100,10,10,10,10,10,10,0,5,5,0,0,0.39,1919,1-2 years,166
18856637,11/13/2012,within an hour,100%,0,2,2,0,Outer Sunset,Apartment,Private room,1,1,1,1,290,30,90,2 months ago,0,0,30,30,41,4,6/5/2017,93,10,9,10,10,9,9,0,2,0,2,0,1.69,2392,1-2 years,32
18860057,6/23/2011,within an hour,100%,0,1,1,0,Outer Sunset,House,Entire home/apt,6,2,3,3,500,2,28,today,15,41,69,70,13,13,8/5/2018,94,10,10,10,10,10,9,1,1,1,0,0,1.29,2901,6-12 months,15
18871091,10/24/2014,within an hour,100%,1,2,2,1,Haight Ashbury,Other,Entire home/apt,4,1.5,2,3,100,3,29,2 weeks ago,5,7,7,7,10,5,6/17/2017,100,10,10,10,10,10,10,0,2,1,1,0,0.42,1682,1-2 years,324
