id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_days_active,time_since_first_review,time_since_last_review
14804950,2014-12-17,within an hour,100%,1,2,2,1,Bernal Heights,Other,Entire home/apt,2,1 bath,,1.0,$114.00 ,1,1125,6,19,42,132,543,2018-05-04,4.9,4.95,4.93,4.97,4.96,4.89,4.75,STR-0002030,0,2,2,0,0,1628.0,1-2 years,nan
14808208,2013-07-07,,unknown,0,11,11,1,Inner Sunset,House,Entire home/apt,4,2.5 baths,2.0,2.0,$166.00 ,30,1125,0,1,15,290,49,2017-02-09,4.9,4.96,4.88,4.98,4.92,4.91,4.71,City registration pending,0,5,5,0,0,2156.0,2-3 years,nan
14841442,2016-07-26,within an hour,100%,1,5,5,1,West of Twin Peaks,Other,Private room,1,Shared half-bath,1.0,1.0,$42.00 ,30,365,0,1,31,121,20,2016-09-09,4.85,5.0,5.0,4.95,4.95,4.95,4.68,,1,3,0,3,0,1041.0,2-3 years,nan
14845574,2016-09-01,within a day,100%,0,1,1,1,Inner Sunset,House,Entire home/apt,2,1 bath,1.0,1.0,$130.00 ,30,90,8,38,68,343,44,2020-01-30,4.7,4.88,4.81,4.95,4.88,4.83,4.55,,0,1,1,0,0,1004.0,nan,nan
14869150,2015-10-21,within a few hours,100%,1,2,2,1,Western Addition,Other,Entire home/apt,2,1.5 baths,1.0,1.0,$220.00 ,3,60,0,15,19,19,50,2017-04-08,4.98,4.96,4.96,4.98,4.98,4.96,4.84,STR-0001733,0,1,1,0,0,1320.0,2-3 years,nan
14869325,2016-07-26,within an hour,100%,1,5,5,1,West of Twin Peaks,Other,Private room,1,Shared half-bath,1.0,1.0,$45.00 ,30,365,0,15,45,225,16,2016-10-07,4.38,4.38,4.44,4.94,4.75,4.88,4.69,,1,3,0,3,0,1041.0,2-3 years,nan
14884457,2016-07-26,within an hour,100%,1,5,5,1,West of Twin Peaks,Other,Private room,1,Shared half-bath,1.0,1.0,$44.00 ,30,180,0,12,42,222,25,2016-09-27,4.8,4.88,4.88,4.96,4.96,4.84,4.68,,1,3,0,3,0,1041.0,2-3 years,nan
14896984,2016-09-04,within an hour,100%,0,1,1,1,Mission,Other,Entire home/apt,6,3 baths,3.0,3.0,$350.00 ,30,45,0,0,0,0,12,2016-10-07,5.0,5.0,5.0,5.0,5.0,4.91,4.91,,0,1,1,0,0,1001.0,2-3 years,6-12 months
14903530,2010-03-09,within a few hours,100%,0,1,1,1,Diamond Heights,Other,Entire home/apt,4,3 baths,3.0,2.0,$295.00 ,8,29,0,13,13,184,10,2017-01-02,4.9,5.0,5.0,5.0,5.0,4.8,4.9,STR-0002491,0,1,1,0,0,3372.0,2-3 years,nan
14910754,2016-09-05,,unknown,0,1,1,0,Haight Ashbury,Other,Entire home/apt,5,2 baths,2.0,3.0,$450.00 ,3,60,18,18,18,18,5,2019-08-24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,pending,0,1,1,0,0,1000.0,nan,nan
14934208,2014-11-11,within an hour,100%,1,2,2,1,South of Market,Other,Private room,7,1 private bath,1.0,2.0,$136.00 ,1,90,9,23,47,240,336,2018-03-12,4.97,4.99,4.96,4.95,4.97,4.91,4.93,City Registration Pending,1,2,1,1,0,1664.0,1-2 years,nan
14944663,2011-10-03,within a few hours,50-89%,1,2,2,1,Haight Ashbury,Other,Entire home/apt,6,1.5 baths,3.0,4.0,$400.00 ,4,30,0,0,0,0,79,2017-08-27,4.9,4.9,4.84,4.88,4.94,4.95,4.72,STR-0003767,0,1,1,0,0,2799.0,1-2 years,nan
14952444,2016-06-14,within an hour,100%,0,0,0,1,Mission,House,Entire home/apt,2,1 bath,1.0,1.0,$103.00 ,30,31,5,35,65,65,0,,,,,,,,,,1,1,1,0,0,1083.0,nan,nan
14963288,2014-06-20,within an hour,50-89%,0,54,54,0,Downtown/Civic Center,Other,Private room,2,1 bath,,1.0,$112.00 ,1,21,24,54,55,55,107,2016-12-07,4.56,4.68,4.64,4.8,4.52,4.86,4.66,License not needed per OSTR,1,54,0,54,0,1808.0,2-3 years,nan
14969986,2016-09-09,,unknown,0,1,1,0,Financial District,Other,Entire home/apt,2,1 bath,1.0,1.0,$175.00 ,60,365,27,57,87,362,4,2021-09-04,5.0,5.0,5.0,5.0,5.0,5.0,4.75,,0,1,1,0,0,996.0,nan,nan
14982368,2012-07-22,,unknown,0,1,1,1,North Beach,Other,Private room,2,1 shared bath,1.0,1.0,$120.00 ,30,360,0,0,0,0,0,,,,,,,,,,0,1,0,1,0,2506.0,nan,nan
14983353,2016-09-09,,unknown,0,1,1,1,Western Addition,House,Entire home/apt,7,1 bath,3.0,5.0,$220.00 ,30,1125,0,0,0,0,38,2017-01-01,4.74,4.82,4.92,4.89,4.79,4.84,4.61,,1,1,1,0,0,996.0,2-3 years,nan
14988703,2016-09-10,within an hour,100%,0,1,1,1,Potrero Hill,Other,Entire home/apt,4,1 bath,2.0,2.0,$150.00 ,30,1125,2,31,31,270,47,2017-07-29,4.79,4.83,4.89,4.96,4.96,4.8,4.76,STR-075884,0,1,1,0,0,995.0,1-2 years,nan
14990478,2016-05-10,,unknown,1,0,0,1,Outer Mission,Other,Private room,2,1 private bath,1.0,1.0,$80.00 ,1,1125,0,13,43,133,376,2017-05-29,4.94,4.94,4.93,4.97,4.97,4.83,4.88,STR-0003887,1,1,0,1,0,1118.0,2-3 years,nan
14996188,2011-12-11,within a few hours,100%,1,1,1,1,Inner Sunset,Other,Entire home/apt,2,1 bath,,1.0,$130.00 ,3,14,4,7,21,21,281,2017-09-25,4.99,5.0,5.0,4.99,5.0,4.91,4.93,STR-0001743,0,1,1,0,0,2730.0,1-2 years,nan
